archive_date,adult_child,speciality,wait_0_6m,wait_6_12m,wait_12_18m,wait_18m_plus,total_waiting,Year,Month,pct_over_12m
26/01/2023,Adult,Anaesthetics,14,4,2,0,21,2023,1,9.523809524
26/01/2023,Child,Orthopaedics,1470,701,266,364,2801,2023,1,22.49196715
26/01/2023,Child,Oral Surgery,116,49,19,29,213,2023,1,22.53521127
26/01/2023,Child,Ophthalmology,2244,836,389,914,4383,2023,1,29.72849646
26/01/2023,Child,Neurology,29,8,4,2,43,2023,1,13.95348837
26/01/2023,Child,Maxillo-Facial,83,36,34,49,202,2023,1,41.08910891
26/01/2023,Child,Immunology,221,54,14,85,374,2023,1,26.47058824
26/01/2023,Child,Haematology,74,12,4,0,90,2023,1,4.444444444
26/01/2023,Child,Gynaecology,469,145,59,2,675,2023,1,9.037037037
26/01/2023,Child,Paed Cardiology,2074,1172,761,150,4157,2023,1,21.91484243
26/01/2023,Child,General Surgery,844,334,195,190,1563,2023,1,24.63211772
26/01/2023,Child,Gastro-Enterology,10,8,2,0,20,2023,1,10
26/01/2023,Child,Endocrinology,19,4,2,0,25,2023,1,8
26/01/2023,Child,Developmental Paediatrics,319,265,179,332,1095,2023,1,46.66666667
26/01/2023,Child,Dermatology,1255,574,277,656,2762,2023,1,33.77986966
26/01/2023,Child,Dental Surgery,217,92,37,151,497,2023,1,37.82696177
26/01/2023,Child,Clinical Immunology,365,127,83,292,867,2023,1,43.25259516
26/01/2023,Child,Clinical (Medical) Genetics,436,402,298,255,1391,2023,1,39.75557153
26/01/2023,Child,Cardiology,26,7,2,16,51,2023,1,35.29411765
26/01/2023,Child,General Medicine,31,4,2,0,37,2023,1,5.405405405
26/01/2023,Child,Cardio-Thoracic Surgery,57,4,4,2,67,2023,1,8.955223881
26/01/2023,Child,Paed Endocrinology,511,228,100,66,905,2023,1,18.34254144
26/01/2023,Child,Paed Haematology,180,59,8,2,249,2023,1,4.016064257
26/01/2023,Child,Vascular Surgery,15,4,0,2,21,2023,1,9.523809524
26/01/2023,Child,Urology,898,489,322,308,2017,2023,1,31.23450669
26/01/2023,Child,Small Volume Specialities,68,17,2,2,89,2023,1,4.494382022
26/01/2023,Child,Rheumatology,286,240,149,722,1397,2023,1,62.34788833
26/01/2023,Child,Plastic Surgery,787,365,234,324,1710,2023,1,32.63157895
26/01/2023,Child,Pain Relief,18,10,2,2,32,2023,1,12.5
26/01/2023,Child,Paediatrics,12649,5241,1382,190,19462,2023,1,8.0772788
26/01/2023,Child,Paediatric Urology,450,312,213,229,1204,2023,1,36.71096346
26/01/2023,Child,Paed Gastro-Enterol,575,167,94,10,846,2023,1,12.29314421
26/01/2023,Child,Paediatric Surgery,2341,1559,573,178,4651,2023,1,16.14706515
26/01/2023,Child,Paediatric Neurosurgery,35,4,4,0,43,2023,1,9.302325581
26/01/2023,Child,Paediatric Neurology,867,249,67,2,1185,2023,1,5.82278481
26/01/2023,Child,Paediatric Infectious Diseases,56,12,4,2,74,2023,1,8.108108108
26/01/2023,Child,Paediatric ENT,2760,1363,535,1922,6580,2023,1,37.34042553
26/01/2023,Child,Paediatric Dermatology,2352,1640,708,2212,6912,2023,1,42.24537037
26/01/2023,Child,Paed Orthopaedic,1680,1024,466,698,3868,2023,1,30.09307135
26/01/2023,Child,Paed Nephrology,279,123,21,7,430,2023,1,6.511627907
26/01/2023,Child,Paed Metabolic Medicine,52,8,0,2,62,2023,1,3.225806452
26/01/2023,Child,Paediatric Respiratory Medicine,637,428,255,683,2003,2023,1,46.82975537
26/01/2023,Adult,Vascular Surgery,7001,3143,1601,2298,14043,2023,1,27.76472264
26/01/2023,Child,Otolaryngology (ENT),4067,2204,1103,1697,9071,2023,1,30.86760004
26/01/2023,Adult,Small Volume Specialities,64,30,21,2,117,2023,1,19.65811966
26/01/2023,Adult,Infectious Diseases,1276,60,4,0,1340,2023,1,0.298507463
26/01/2023,Adult,Hepato-Biliary Surgery,70,32,8,0,110,2023,1,7.272727273
26/01/2023,Adult,Haematology,5160,2053,744,1193,9150,2023,1,21.16939891
26/01/2023,Adult,Gynaecology,19615,5619,1218,1659,28111,2023,1,10.2344278
26/01/2023,Adult,Geriatric Medicine,3142,339,89,106,3676,2023,1,5.304678999
26/01/2023,Adult,General Surgery,24875,5984,2796,2285,35940,2023,1,14.13745131
26/01/2023,Adult,General Medicine,10222,5331,2250,2334,20137,2023,1,22.76406615
26/01/2023,Adult,Gastro-Intestinal Surgery,476,180,24,18,698,2023,1,6.017191977
26/01/2023,Adult,Gastro-Enterology,9365,3375,1236,1387,15363,2023,1,17.07348825
26/01/2023,Adult,Endocrinology,7472,4646,2225,4157,18500,2023,1,34.4972973
26/01/2023,Adult,Diabetes Mellitus,1017,461,213,200,1891,2023,1,21.84029614
26/01/2023,Adult,Dermatology,21568,8422,3069,6947,40006,2023,1,25.03624456
26/01/2023,Adult,Clinical Neurophysiology,786,569,381,343,2079,2023,1,34.82443482
26/01/2023,Adult,Clinical Immunology,1140,666,48,5,1859,2023,1,2.850995159
26/01/2023,Adult,Clinical (Medical) Genetics,990,811,617,438,2856,2023,1,36.93977591
26/01/2023,Adult,Chemical Pathology,46,47,29,2,124,2023,1,25
26/01/2023,Adult,Cardiology,17660,9041,3670,2300,32671,2023,1,18.27308622
26/01/2023,Adult,Cardio-Thoracic Surgery,326,50,10,19,405,2023,1,7.160493827
26/01/2023,Adult,Urology,12048,5325,2623,4802,24798,2023,1,29.9419308
26/01/2023,Adult,Maxillo-Facial,1198,449,323,996,2966,2023,1,44.47066757
26/01/2023,Adult,Metabolic Medicine,135,25,11,14,185,2023,1,13.51351351
26/01/2023,Adult,Breast Surgery,2198,8,0,0,2206,2023,1,0
26/01/2023,Adult,Plastic Surgery,7204,3324,1810,4625,16963,2023,1,37.93550669
26/01/2023,Adult,Rheumatology,7211,3470,1583,3173,15437,2023,1,30.80909503
26/01/2023,Adult,Respiratory Medicine,10062,4584,1647,2907,19200,2023,1,23.71875
26/01/2023,Adult,Radiotherapy,62,0,0,0,62,2023,1,0
26/01/2023,Adult,Radiology,15,4,2,0,22,2023,1,9.090909091
26/01/2023,Adult,Psychiatry,440,58,7,2,507,2023,1,1.775147929
26/01/2023,Adult,Microbiology,25,0,0,0,25,2023,1,0
26/01/2023,Adult,Pathology,50,41,41,42,174,2023,1,47.70114943
26/01/2023,Adult,Pain Relief,5055,3286,1703,4218,14262,2023,1,41.51591642
26/01/2023,Adult,Paediatric Neurology,15,4,4,0,24,2023,1,16.66666667
26/01/2023,Adult,Paediatrics,81,50,31,6,168,2023,1,22.02380952
26/01/2023,Adult,Otolaryngology (ENT),17771,9460,4664,10841,42736,2023,1,36.28088731
26/01/2023,Adult,Orthopaedics,31631,18467,7348,7691,65137,2023,1,23.08826013
26/01/2023,Adult,Oral Surgery,517,281,238,1188,2224,2023,1,64.11870504
26/01/2023,Adult,Ophthalmology,15127,6538,3607,7974,33246,2023,1,34.83426578
26/01/2023,Adult,Oncology,578,10,0,0,588,2023,1,0
26/01/2023,Adult,Neurosurgery,3530,1941,1064,2129,8664,2023,1,36.85364728
26/01/2023,Adult,Neurology,9411,4913,2892,6148,23364,2023,1,38.69200479
26/01/2023,Adult,Nephrology,2226,588,248,384,3446,2023,1,18.34010447
26/01/2023,Adult,Paediatric Dermatology,36,7,0,0,43,2023,1,0
23/02/2023,Child,Immunology,218,58,19,57,352,2023,2,21.59090909
23/02/2023,Child,Haematology,74,11,4,0,89,2023,2,4.494382022
23/02/2023,Child,Maxillo-Facial,81,31,37,47,196,2023,2,42.85714286
23/02/2023,Adult,Vascular Surgery,6589,3281,1611,2375,13856,2023,2,28.76732102
23/02/2023,Child,Ophthalmology,2221,792,393,882,4288,2023,2,29.73414179
23/02/2023,Child,Oral Surgery,121,50,23,29,223,2023,2,23.31838565
23/02/2023,Child,Orthopaedics,1503,697,260,383,2843,2023,2,22.61695392
23/02/2023,Child,Neurology,30,8,4,6,48,2023,2,20.83333333
23/02/2023,Child,Gynaecology,490,131,63,2,686,2023,2,9.475218659
23/02/2023,Child,Cardio-Thoracic Surgery,55,4,4,5,68,2023,2,13.23529412
23/02/2023,Child,General Medicine,26,4,2,2,34,2023,2,11.76470588
23/02/2023,Child,Endocrinology,19,4,0,0,23,2023,2,0
23/02/2023,Child,Developmental Paediatrics,287,262,188,331,1068,2023,2,48.59550562
23/02/2023,Child,Dermatology,1331,535,284,688,2838,2023,2,34.24947146
23/02/2023,Child,Dental Surgery,217,98,44,123,482,2023,2,34.6473029
23/02/2023,Child,Clinical Immunology,304,131,79,260,774,2023,2,43.79844961
23/02/2023,Child,Clinical (Medical) Genetics,401,355,290,229,1275,2023,2,40.70588235
23/02/2023,Child,Cardiology,37,7,2,15,61,2023,2,27.86885246
23/02/2023,Child,Otolaryngology (ENT),4626,2153,1184,1321,9284,2023,2,26.98190435
23/02/2023,Child,General Surgery,840,327,183,201,1551,2023,2,24.7582205
23/02/2023,Child,Paed Cardiology,2165,1152,771,217,4305,2023,2,22.95005807
23/02/2023,Child,Paediatric Neurology,951,249,68,2,1270,2023,2,5.511811024
23/02/2023,Child,Paed Gastro-Enterol,551,159,98,20,828,2023,2,14.25120773
23/02/2023,Child,Vascular Surgery,15,8,0,2,25,2023,2,8
23/02/2023,Child,Urology,917,494,284,311,2006,2023,2,29.66101695
23/02/2023,Child,Small Volume Specialities,84,19,4,2,108,2023,2,5.555555556
23/02/2023,Child,Rheumatology,291,229,157,628,1305,2023,2,60.1532567
23/02/2023,Child,Plastic Surgery,768,362,253,283,1666,2023,2,32.17286915
23/02/2023,Child,Pain Relief,17,7,2,2,27,2023,2,14.81481481
23/02/2023,Child,Paediatrics,13626,5160,1495,218,20499,2023,2,8.356505195
23/02/2023,Child,Paediatric Urology,446,320,203,140,1109,2023,2,30.92876465
23/02/2023,Child,Paed Endocrinology,511,223,79,59,872,2023,2,15.82568807
23/02/2023,Child,Paediatric Surgery,2315,1621,589,122,4647,2023,2,15.30019367
23/02/2023,Child,Paediatric Neurosurgery,50,4,2,0,55,2023,2,3.636363636
23/02/2023,Child,Paediatric Infectious Diseases,54,9,4,0,67,2023,2,5.970149254
23/02/2023,Child,Paediatric ENT,2991,1365,625,1640,6621,2023,2,34.20933394
23/02/2023,Child,Paediatric Dermatology,2361,1718,715,1985,6779,2023,2,39.82888332
23/02/2023,Child,Paed Orthopaedic,1623,1075,469,693,3860,2023,2,30.10362694
23/02/2023,Child,Paed Nephrology,265,126,22,10,423,2023,2,7.56501182
23/02/2023,Child,Paed Metabolic Medicine,55,2,0,0,57,2023,2,0
23/02/2023,Child,Paed Haematology,192,46,9,2,249,2023,2,4.417670683
23/02/2023,Child,Paediatric Respiratory Medicine,693,417,269,637,2016,2023,2,44.94047619
23/02/2023,Adult,Urology,12402,5431,2636,4687,25156,2023,2,29.11035141
23/02/2023,Adult,Microbiology,20,0,0,0,20,2023,2,0
23/02/2023,Adult,Rheumatology,7188,3392,1561,3076,15217,2023,2,30.47249786
23/02/2023,Adult,Infectious Diseases,1380,61,4,0,1445,2023,2,0.276816609
23/02/2023,Adult,Hepato-Biliary Surgery,67,32,13,0,112,2023,2,11.60714286
23/02/2023,Adult,Haematology,5104,2106,819,1206,9235,2023,2,21.92744992
23/02/2023,Adult,Gynaecology,20150,5512,1205,1523,28390,2023,2,9.60901726
23/02/2023,Adult,Geriatric Medicine,3145,341,91,112,3689,2023,2,5.5028463
